"car_name"|"car_mileage"|"car_transmission"|"car_location"|"car_price"|"car_instalment_mth_amt"
"2012 Toyota Wish X 1.8"|"156,929 km"|"Automatic"|"Selangor"|"52,500"|"RM 575/mo"
"2015 Proton Preve CFE Premium 1.6"|"69,554 km"|"Automatic"|"Pahang"|"22,000"|"RM 241/mo"
"2017 Honda BR-V V i-VTEC 1.5"|"117,150 km"|"Automatic"|"Selangor"|"52,800"|"RM 579/mo"
"2011 Toyota Vios G Limited 1.5"|"181,087 km"|"Automatic"|"Negeri Sembilan"|"26,800"|"RM 294/mo"
"2021 Honda City V i-VTEC 1.5"|"51,895 km"|"Automatic"|"Kuala Lumpur"|"73,900"|"RM 810/mo"
"2017 Mazda CX-3 SKYACTIV 2.0"|"126,558 km"|"Automatic"|"Selangor"|"69,300"|"RM 759/mo"
"2018 Proton Saga Premium 1.3"|"101,547 km"|"Automatic"|"Negeri Sembilan"|"27,000"|"RM 296/mo"
"2022 Proton X70 TGDI Premium 1.8"|"12,417 km"|"Automatic"|"Kuala Lumpur"|"89,400"|"RM 980/mo"
"2018 Perodua Bezza Advance Premium 1.3"|"90,572 km"|"Automatic"|"Kuala Lumpur"|"36,800"|"RM 403/mo"
"2020 Honda City E i-VTEC 1.5"|"50,967 km"|"Automatic"|"Johor"|"66,400"|"RM 728/mo"
"2018 Toyota Vios E 1.5"|"103,869 km"|"Automatic"|"Pahang"|"55,800"|"RM 611/mo"
"2021 Perodua Ativa AV 1.0"|"53,153 km"|"Automatic"|"Pulau Pinang"|"64,600"|"RM 708/mo"
"2021 Perodua Ativa AV 1.0"|"23,118 km"|"Automatic"|"Pulau Pinang"|"64,600"|"RM 708/mo"
"2020 Proton Persona Standard 1.6"|"69,290 km"|"Automatic"|"Selangor"|"35,400"|"RM 388/mo"
"2016 Toyota Vellfire Z Golden Eyes 2.5"|"24,971 km"|"Automatic"|"Selangor"|"173,800"|"RM 1,905/mo"
"2012 Volkswagen Tiguan TSI 2.0"|"171,527 km"|"Automatic"|"Johor"|"27,600"|"RM 302/mo"
"2017 Perodua Bezza X Premium 1.3"|"105,171 km"|"Automatic"|"Pahang"|"33,900"|"RM 371/mo"
"2011 Honda Civic S i-VTEC 2.0"|"153,142 km"|"Automatic"|"Johor"|"41,000"|"RM 449/mo"
"2016 Honda HR-V i-VTEC V 1.8"|"130,793 km"|"Automatic"|"Pulau Pinang"|"60,000"|"RM 658/mo"
"2019 Proton X70 TGDI Executive 1.8"|"96,048 km"|"Automatic"|"Kuala Lumpur"|"62,800"|"RM 688/mo"
"2017 Perodua Bezza Advance Premium 1.3"|"98,244 km"|"Automatic"|"Pahang"|"35,900"|"RM 393/mo"
"2014 Honda City V i-VTEC 1.5"|"175,878 km"|"Automatic"|"Selangor"|"38,800"|"RM 425/mo"
"2017 Perodua Bezza Advance Premium 1.3"|"87,731 km"|"Automatic"|"Kuala Lumpur"|"35,900"|"RM 393/mo"
"2010 Toyota Vellfire Z 2.4"|"118,314 km"|"Automatic"|"Kuala Lumpur"|"64,800"|"RM 710/mo"
"2016 Honda City E i-VTEC 1.5"|"95,921 km"|"Automatic"|"Kedah"|"45,900"|"RM 503/mo"
"2021 Mitsubishi Triton VGT Athlete Dual Cab 2.4"|"33,065 km"|"Automatic"|"Sarawak"|"106,800"|"RM 1,170/mo"
"2017 Perodua Bezza X Premium 1.3"|"97,196 km"|"Automatic"|"Selangor"|"34,900"|"RM 382/mo"
"2015 Honda HR-V i-VTEC V 1.8"|"147,308 km"|"Automatic"|"Pulau Pinang"|"51,900"|"RM 569/mo"
"2017 Perodua Myvi Advance 1.5"|"73,202 km"|"Automatic"|"Selangor"|"43,000"|"RM 471/mo"
"2016 Nissan Almera E 1.5"|"130,279 km"|"Automatic"|"Perak"|"33,800"|"RM 370/mo"
"2022 Proton X50 Premium 1.5"|"21,296 km"|"Automatic"|"Pulau Pinang"|"82,800"|"RM 907/mo"
"2017 Honda BR-V V i-VTEC 1.5"|"119,333 km"|"Automatic"|"Melaka"|"53,900"|"RM 591/mo"
"2014 Honda Accord i-VTEC VTi 2.0"|"176,905 km"|"Automatic"|"Kuala Lumpur"|"44,200"|"RM 484/mo"
"2017 Perodua Myvi SE 1.5"|"113,364 km"|"Automatic"|"Pulau Pinang"|"37,800"|"RM 414/mo"
"2013 Kia Rio EX 1.4"|"113,670 km"|"Automatic"|"Kuala Lumpur"|"21,800"|"RM 239/mo"
"2015 Perodua Myvi Advance 1.5"|"113,877 km"|"Automatic"|"Negeri Sembilan"|"32,800"|"RM 359/mo"
"2022 Suzuki Jimny ALLGRIP PRO 1.5"|"11,473 km"|"Automatic"|"Kuala Lumpur"|"144,000"|"RM 1,578/mo"
"2018 Honda City E i-VTEC 1.5"|"96,858 km"|"Automatic"|"Melaka"|"59,000"|"RM 647/mo"
